Country,Number of cases,lat,lon
Canada,4,62.8329086,-95.9133224
The Netherlands,4,52.3422585,5.5281572
Bulgaria,3,42.7661018,25.2837334
Denmark,3,56.1017609,9.5559072
United Kingdom of Great Britain and Northern Ireland,3,54.0724373,-2.7843924
Austria,2,47.5884399,14.1402111
France,2,46.6372795,2.3382623
Hungary,2,47.1657333,19.4165745
Italy,2,42.7669792,12.4938231
Spain,2,40.3960266,-3.5506926
The Philippines,2,11.1126661,121.803894
Turkey,2,39.0510101,34.9303398
Belarus,1,53.5434723,28.0540943
Brazil,1,-10.8104515,-52.9731178
Georgia,1,42.1810265,43.5059509
Germany,1,51.2024651,10.3822031
Peru,1,-12.0561399,-77.0268021
