Country,Year of decision
Germany,2004
Hungary,2005
The Netherlands,2006
Hungary,2006
Austria,2007
Austria,2007
Spain,2007
Turkey,2006
The Netherlands,2008
United Kingdom of Great Britain and Northern Ireland,2007
United Kingdom of Great Britain and Northern Ireland,2007
France,2009
France,2009
The Netherlands,2008
The Netherlands,2009
Canada,2008
Brazil,2011
The Philippines,2010
Canada,2012
Bulgaria,2011
Italy,2011
Peru,2011
Belarus,2011
Georgia,N/A
Canada,2012
Canada,2011
Italy,2011
Turkey,2012
Spain,N/A
Unknown,N/A
Bulgaria,2012
Bulgaria,2012
Denmark,2013
The Philippines,N/A
Unknown,N/A
Unknown,N/A
Denmark,N/A
United Kingdom of Great Britain and Northern Ireland,2012
Unknown,N/A
Denmark,2013
Unknown,N/A
